2025/09/21 19:10:04.617  ,Data., 0: ProcReturn/1: CacheReturn, AplID, SFCID, prefix, Proc.Time, fromSFID, R_ID->, toSFID@R/N+ID, Hop, ComTime, DataSize, @Host, @VM, @vCPU, BW, #ofSharedConnection, TimeStamp
2025/09/21 19:10:04.628  ,Int., 0:Interest/1:CacheHit, AplID, SFCID, prefix, fromSFID@R_ID, toSFID, <-R/N+ID, Hop, Duration, @Host, @VM, @vCPU, TimeStamp
2025/09/21 19:10:27.184  ,Data.,0,0,2,/2/8/10/,1657,8,R22->,10@R76,1,4836,446,9^0,9^0^0,9^0^0^0^0,-,-,1758449427184
2025/09/21 19:10:28.818  ,Data.,0,0,2,/2/9/14/,1733,9,R27->,14@R76,1,63,186,9^0,9^0^0,9^0^0^0^0,-,-,1758449428818
2025/09/21 19:10:28.859  ,Data.,0,0,2,/2/9/12/,1733,9,R27->,12@R27,1,85,357,2^2,2^2^0,2^2^0^0^0,-,-,1758449428859
2025/09/21 19:10:30.964  ,Data.,0,0,2,/2/16/20/,1930,16,R27->,20@R22,1,88,580,1^7,1^7^0,1^7^0^0^0,-,-,1758449430957
2025/09/21 19:10:30.964  ,Data.,0,0,2,/2/16/20/,1930,16,R27->,20@R22,1,95,580,1^7,1^7^0,1^7^0^0^0,-,-,1758449430964
2025/09/21 19:10:31.011  ,Data.,0,0,2,/2/9/13/,1733,9,R27->,13@R27,1,2218,718,2^2,2^2^0,2^2^0^0^0,-,-,1758449431011
2025/09/21 19:10:31.066  ,Data.,0,0,2,/2/16/17/,1930,16,R27->,17@R22,1,160,351,1^7,1^7^0,1^7^0^0^0,-,-,1758449431066
2025/09/21 19:10:31.167  ,Data.,0,0,2,/2/16/20/,1930,16,R27->,20@R22,1,298,580,1^7,1^7^0,1^7^0^0^0,-,-,1758449431167
2025/09/21 19:10:31.478  ,Data.,0,0,2,/2/9/14/,1733,9,R27->,14@R76,1,2723,186,9^0,9^0^0,9^0^0^0^0,-,-,1758449431478
2025/09/21 19:10:31.594  ,Data.,0,0,2,/2/10/15/,4288,10,R76->,15@R22,1,120,619,1^7,1^7^0,1^7^0^0^0,-,-,1758449431593
2025/09/21 19:10:31.594  ,Data.,0,0,2,/2/10/15/,4288,10,R76->,15@R22,1,121,619,1^7,1^7^0,1^7^0^0^0,-,-,1758449431594
2025/09/21 19:10:33.551  ,Data.,0,0,2,/2/10/15/,4288,10,R76->,15@R22,1,2078,619,1^7,1^7^0,1^7^0^0^0,-,-,1758449433551
2025/09/21 19:10:33.885  ,Data.,0,0,2,/2/9/14/,1733,9,R27->,14@R76,1,5130,186,9^0,9^0^0,9^0^0^0^0,-,-,1758449433885
2025/09/21 19:10:35.483  ,Data.,0,0,2,/2/12/17/,1911,12,R27->,17@R22,1,2548,616,1^7,1^7^0,1^7^0^0^0,-,-,1758449435483
2025/09/21 19:10:35.583  ,Data.,0,0,2,/2/15/20/,1811,15,R22->,20@R22,1,2140,637,1^7,1^7^0,1^7^0^0^0,-,-,1758449435583
2025/09/21 19:10:35.683  ,Data.,0,0,2,/2/14/19/,2164,14,R76->,19@R22,1,1903,415,1^7,1^7^0,1^7^0^0^0,-,-,1758449435683
2025/09/21 19:10:35.783  ,Data.,0,0,2,/2/13/17/,2148,13,R27->,17@R22,1,562,876,1^7,1^7^0,1^7^0^0^0,-,-,1758449435783
2025/09/21 19:10:36.167  ,Data.,0,0,2,/2/13/18/,2148,13,R27->,18@R76,1,966,507,9^0,9^0^0,9^0^0^0^0,-,-,1758449436167
2025/09/21 19:10:40.468  ,Data.,0,0,2,/2/17/18/,2957,17,R22->,18@R76,1,10,550,9^0,9^0^0,9^0^0^0^0,-,-,1758449440458
2025/09/21 19:10:40.508  ,Data.,0,0,2,/2/17/20/,2957,17,R22->,20@R22,1,106,349,1^7,1^7^0,1^7^0^0^0,-,-,1758449440508
2025/09/21 19:10:42.326  ,Data.,0,0,2,/2/18/20/,1744,18,R76->,20@R22,1,65,430,1^7,1^7^0,1^7^0^0^0,-,-,1758449442325
2025/09/21 19:10:42.326  ,Data.,0,0,2,/2/18/20/,1744,18,R76->,20@R22,1,65,430,1^7,1^7^0,1^7^0^0^0,-,-,1758449442325
2025/09/21 19:10:42.426  ,Data.,0,0,2,/2/18/19/,1744,18,R76->,19@R22,1,149,359,1^7,1^7^0,1^7^0^0^0,-,-,1758449442426
2025/09/21 19:10:42.526  ,Data.,0,0,2,/2/18/20/,1744,18,R76->,20@R22,1,266,430,1^7,1^7^0,1^7^0^0^0,-,-,1758449442526
2025/09/21 19:10:44.729  ,Data.,0,0,2,/2/19/20/,2153,19,R22->,20@R22,1,101,715,1^7,1^7^0,1^7^0^0^0,-,-,1758449444729
2025/09/21 19:10:47.211  ,Data.,0,0,2,/2/20/-1/,1380,20,R22->,-1@N78,1,1076,0,-,-,-,494,1,1758449447201
